Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","192.168.2.133","tcp","8834","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

NessusWWW","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10147","","","None","192.168.2.133","tcp","8834","Nessus Server Detection","A Nessus daemon is listening on the remote port.","A Nessus daemon is listening on the remote port.","Ensure that the remote Nessus installation has been authorized.","https://www.tenable.com/products/nessus/nessus-professional","
  URL     : https://192.168.2.133:8834/
  Version : unknown
","","","","","","","","","None","","IAVT:0001-T-0673","","1999/10/12","2023/02/08","","",""
"10863","","","None","192.168.2.133","tcp","8834","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Organization: Nessus Users United
Organization Unit: Nessus Server
Locality: New York
Country: US
State/Province: NY
Common Name: vbox-kali

Issuer Name: 

Organization: Nessus Users United
Organization Unit: Nessus Certification Authority
Locality: New York
Country: US
State/Province: NY
Common Name: Nessus Certification Authority

Serial Number: 19 23 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: May 03 08:27:52 2025 GMT
Not Valid After: May 02 08:27:52 2029 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 97 5A 2D 9E 2A ED 2B 73 03 71 F3 4E 8C 75 10 7B 7F 85 7C 
            37 D0 2B EB 10 92 EB DC 90 96 C3 0E 38 FD 63 FA C0 CF E7 32 
            82 E1 E9 C4 B1 92 2B E6 D0 5F 88 29 2F 0A 14 D1 3D AF A9 9B 
            B0 74 C9 AB C0 82 27 9B 98 59 DB 73 58 1E 23 69 F5 98 5B 1E 
            A1 EE 7C 02 53 31 A5 A4 2B E4 25 0B D7 8C 99 15 CD 98 10 C8 
            08 16 48 A6 2A 63 A4 AE 1B 5D BE 6E 7E D1 7F 3A 67 3F DC 00 
            A8 83 ED ED 88 63 FD 43 96 37 94 6A 53 F2 36 FD CC 6A 43 BB 
            82 81 13 93 06 08 8D C6 FB 20 57 95 2D 23 53 2A 5A E5 28 E3 
            45 29 30 57 9A 26 B0 AD 5B C8 0A 63 F7 35 E6 E8 F8 99 15 DF 
            6C 65 4E AE 86 19 7D 7D 9E 5A E7 28 1C 9A 29 77 F5 C7 88 D1 
            B5 29 1C CF E3 D9 51 41 61 21 C5 2B CB B8 36 81 3D 57 B3 BA 
            C3 1B 2A A3 B3 ED B5 56 84 48 C5 6E 3E C4 47 F7 F7 77 AB 45 
            84 83 89 97 9B 93 65 C3 37 11 A7 29 35 C1 E5 2E 33 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 78 F4 EA 0D 31 3B 72 F8 C4 C7 32 4A 7E ED 68 96 A3 85 94 
           D9 69 DB E4 43 21 12 27 51 A4 32 36 41 6B 45 1B 45 BF 77 5A 
           11 7C 30 86 DE 95 AF 25 FA CF 48 FF A5 58 B9 4B 83 30 D4 18 
           26 08 AC E5 5A 85 92 EF 69 DD AF 31 F7 32 76 4F 26 E4 9F B8 
           77 9A 60 4A C3 29 52 4A 1F DD 65 EA E1 0B 20 D6 BE 7E C6 0C 
           EE 9E 88 C3 5E BD 0E A8 AD D2 C8 9B 56 D9 C5 55 4D BB 97 2A 
           96 7E 03 66 01 FF 56 82 0D 11 46 9F E7 27 D8 BC 3B 50 13 19 
           D1 A8 C7 DD 6B 57 34 7C AB 34 96 40 4C B1 F6 BE 94 21 4C 20 
           E7 0E 6E 22 24 2B 24 C0 43 F7 96 72 96 55 99 46 B0 C2 15 9C 
           9C DC 31 A6 D6 44 75 29 72 71 94 FE B6 DE 44 68 A9 1D 9D 3B 
           6B 5D 48 97 49 E4 12 D7 E3 43 CB F5 DB CD 3A F9 13 1F 56 A4 
           F1 66 74 39 18 08 34 E9 1F 7F 32 E4 B2 F9 B2 D4 2B 44 19 CC 
           4A 39 C2 46 7C 1E B3 21 AB 64 47 03 80 24 06 3E D6 

Extension: 2.16.840.1.113730.1.1
Critical: 0
Data: 03 02 06 40 


Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Non Repudiation, Key Encipherment


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: CC 8A CC 47 27 F7 90 CE 9A CC 03 84 2E E3 07 25 9F A9 36 7A 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: ED BF 49 56 8D 0F DD 27 26 16 DF B7 79 8D 42 09 21 22 2A 60 


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Fingerprints : 

SHA-256 Fingerprint: 81 F6 0A EC 5B CB B2 BA 36 AA 67 78 22 13 8B E8 E2 85 94 40 
                     27 79 5E BA 61 6F F4 37 07 D0 B9 2A 
SHA-1 Fingerprint: 4F 4B 23 EF FE F6 A6 30 A4 8A 11 87 AA 92 86 29 A2 34 4E 88 
MD5 Fingerprint: 76 EE 69 86 3F 64 C5 81 0B ED 95 B3 13 BE 6C 99 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIECzCCAvOgAwIBAgICGSMwDQYJKoZIhvcNAQELBQAwgZ0xHDAaBgNVBAoME05lc3N1cyBVc2VycyBVbml0ZWQxJzAlBgNVBAsMHk5lc3N1cyBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTERMA8GA1UEBwwITmV3IFlvcmsxCzAJBgNVBAYTAlVTMQswCQYDVQQIDAJOWTEnMCUGA1UEAwweTmVzc3VzIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MB4XDTI1MDUwMzA4Mjc1MloXDTI5MDUwMjA4Mjc1MlowdzEcMBoGA1UECgwTTmVzc3VzIFVzZXJzIFVuaXRlZDEWMBQGA1UECwwNTmVzc3VzIFNlcnZlcjERMA8GA1UEBwwITmV3IFlvcmsxCzAJBgNVBAYTAlVTMQswCQYDVQQIDAJOWTESMBAGA1UEAwwJdmJveC1rYWxpMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAl1otnirtK3MDcfNOjHUQe3+FfDfQK+sQkuvckJbDDjj9Y/rAz+cyguHpxLGSK+bQX4gpLwoU0T2vqZuwdMmrwIInm5hZ23NYHiNp9ZhbHqHufAJTMaWkK+QlC9eMmRXNmBDICBZIpipjpK4bXb5uftF/Omc/3ACog+3tiGP9Q5Y3lGpT8jb9zGpDu4KBE5MGCI3G+yBXlS0jUypa5SjjRSkwV5omsK1byApj9zXm6PiZFd9sZU6uhhl9fZ5a5ygcmil39ceI0bUpHM/j2VFBYSHFK8u4NoE9V7O6wxsqo7PttVaESMVuPsRH9/d3q0WEg4mXm5NlwzcRpyk1weUuMwIDAQABo3oweDARBglghkgBhvhCAQEEBAMCBkAwDgYDVR0PAQH/BAQDAgXgMB0GA1UdDgQWBBTMisxHJ/eQzprMA4Qu4wcln6k2ejAfBgNVHSMEGDAWgBTtv0lWjQ/dJyYW37d5jUIJISIqYDATBgNVHSUEDDAKBggrBgEFBQcDATANBgkqhkiG9w0BAQsFAAOCAQEAePTqDTE7cvjExzJKfu1olqOFlNlp2+RDIRInUaQyNkFrRRtFv3daEXwwht6VryX6z0j/pVi5S4Mw1BgmCKzlWoWS72ndrzH3MnZPJuSfuHeaYErDKVJKH91l6uELINa+fsYM7p6Iw169Dqit0sibVtnFVU27lyqWfgNmAf9Wgg0RRp/nJ9i8O1ATGdGox91rVzR8qzSWQEyx9r6UIUwg5w5uIiQrJMBD95ZyllWZRrDCFZyc3DGm1kR1KXJxlP623kRoqR2dO2tdSJdJ5BLX40PL9dvNOvkTH1ak8WZ0ORgINOkffzLksvmy1CtEGcxKOcJGfB6zIatkRwOAJAY+1g==
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"11936","","","None","192.168.2.133","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 6.11.2-amd64
Confidence level : 99
Method : uname

 
The remote host is running Linux Kernel 6.11.2-amd64","","","","","","","","","None","","","","2003/12/09","2025/03/31","","",""
"14272","","","None","192.168.2.133","tcp","8834","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 8834/tcp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/02/19","","",""
"14272","","","None","192.168.2.133","udp","3702","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 3702/udp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/02/19","","",""
"14272","","","None","192.168.2.133","udp","43500","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 43500/udp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/02/19","","",""
"14272","","","None","192.168.2.133","udp","59201","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 59201/udp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/02/19","","",""
"19506","","","None","192.168.2.133","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.8.4
Nessus build : 20028
Plugin feed version : 202505021634
Scanner edition used : Nessus Home
Scanner OS : LINUX
Scanner distribution : debian10-x86-64
Scan type : Normal
Scan name : net
Scan policy used : Basic Network Scan
Scanner IP : 192.168.2.133
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : yes (on the localhost)
Attempt Least Privilege : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2025/5/3 12:28 CEST (UTC +02:00)
Scan duration : 128 sec
Scan for malware : no
","","","","","","","","","None","","","","2005/08/26","2024/12/31","","",""
"21643","","","None","192.168.2.133","tcp","8834","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.0.2/man1/ciphers.html
http://www.nessus.org/u?e17ffced","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv13
  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    TLS_AES_128_GCM_SHA256        0x13, 0x01       -             -        AES-GCM(128)           AEAD
    TLS_AES_256_GCM_SHA384        0x13, 0x02       -             -        AES-GCM(256)           AEAD
    TLS_CHACHA20_POLY1305_SHA256  0x13, 0x03       -             -        ChaCha20-Poly1305(256) AEAD


SSL Version : TLSv12
  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    ECDHE-RSA-AES128-SHA256       0xC0, 0x2F       ECDH          RSA      AES-GCM(128)           SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x30       ECDH          RSA      AES-GCM(256)           SHA384

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
","","","","","","","","","None","","","","2006/06/05","2024/09/11","","",""
